1	C++			1998-01-01	2017-01-01
2	Embedded	1998-01-01	2017-01-01
3	SC			1998-01-01	2017-01-01
4	Vim			1998-01-01	2017-01-01
5	VxWorks		1998-01-01	2009-01-01
6	Unix		1998-01-01	2009-01-01
7	Networking	2003-01-01	2017-01-01
8	Regex		2007-01-01	2017-01-01
9	Bash		2009-01-01	2017-01-01
10	Linux		2009-01-01	2017-01-01
11	Subversion	2012-01-01	2017-01-01
12	VMware		2012-01-01	2017-01-01
13	STL			2013-01-01	2017-01-01
14	C++11/14	2015-01-01	2017-01-01
15	Agile		2015-01-01	2017-01-01
16	Clang		2015-01-01	2017-01-01
17	Iwyu		2015-01-01	2017-01-01
18	JavaScript	2016-01-01	2017-01-01
19	Git			2016-01-01	2017-01-01
20	Lua			2016-01-01	2017-01-01
21	Haskell		2016-01-01	2017-01-01
